,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
98,27 Perry,E-Commerce,118000.0,closed,USA,CO,Denver,Boulder,1.0,7,2012,118000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,-0.18904109589041096,1
148,3ClickEMR Corporation,Electronic Health Records,500000.0,closed,USA,MA,Boston,West Roxbury,2.0,6,2010,250000.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0,1
153,3D FUTURE VISION II,Games,503000.0,closed,USA,FL,Orlando,Longwood,2.0,1,2011,0.0,503000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.4712328767123288,1
174,3i Systems,Semiconductors,13708150.0,closed,CHN,other,Guangdong,Guangdong,3.0,11,2006,0.0,13708150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,1,international,0.8,1
177,3Leaf,Web Hosting,65000000.0,acquired,USA,CA,SF Bay Area,Santa Clara,3.0,6,2004,0.0,65000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,20000000.0,35000000.0,0.0,0.0,0.0,0.0,0,international,0.5863013698630137,0
178,3LM,Android,1500000.0,acquired,other,other,other,other,1.0,7,2010,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.0,0
190,3Touch,Software,272000.0,closed,IRL,other,IRL - Other,Athlone,1.0,1,2003,0.0,272000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,4.331506849315068,1
199,41st Parameter,Security,38064570.0,acquired,USA,CA,SF Bay Area,San Jose,4.0,1,2004,0.0,38064570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200000.0,10070000.0,13000000.0,0.0,0.0,0.0,0,international,2.350684931506849,0
207,4Blox,Software,0.0,closed,USA,CA,SF Bay Area,San Jose,1.0,8,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,1.1095890410958904,1
211,4Home,Cloud Computing,9416354.0,acquired,USA,CA,SF Bay Area,Sunnyvale,6.0,1,2006,0.0,9146354.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,0.0,2850000.0,1000000.0,500000.0,0.0,0.0,0.0,0.0,0,international,0.5808219178082191,0
228,500Friends,E-Commerce,12900000.0,acquired,USA,CA,SF Bay Area,San Francisco,6.0,1,2010,1400000.0,9500000.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,4500000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0,international,-0.04657534246575343,0
245,56.com,Photography,30000000.0,acquired,CHN,other,Guangzhou,Guangzhou,2.0,4,2005,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,1,international,2.1671232876712327,0
249,5by,Photography,0.0,acquired,other,other,other,other,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,1.1616438356164382,0
